date,SR17536,SR17537,SR17538,SR17539,SR17540,737219,737226,737233,737268,SR16967,SL138,SL11136,SL2830,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF282,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,673095,673096,673097,673098,673099,673100,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801
1985-01-01,,,,,,,,,,,33.474243848661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-01,,,,,,,,,,,33.5598432304956,,,,,,,,,,,,,,,,,,,,,,,,,48.26,,,,,-0.030673670366478945,0.009137305437558751,-0.0008997411118611964,0.016250497018193144,,,,,,,0.016320151927532667,0.003797845576809178,-0.009779656654891,0.03297887789396692,-0.02107777551190637,0.061188537594321524,0.023709616234846798,0.10188274640192607,0.04493735337908378,0.038466034126823034,0.0337494846392854,-0.007046869870618755,0.05515903788370796,0.0422575260623832,0.027307350989488333,0.014952656733711267,,0.08344704349028098,,-0.4199744239648382
1985-03-01,,,,,,,,,,,31.1283508614817,,,,,,,,,,,,,,,,,,,,,,,,,55.29,,,,,-0.008578401070879593,0.001887452971391923,0.0013068714052808517,-0.0014915504301180604,,,,,,,0.0451618557073904,0.03244699623913738,0.02109808613825148,0.03460407532499232,0.015297944391359564,0.061281333034088115,0.02825163288422783,0.17110835366983723,0.07642328705808732,0.026125384591390466,0.03340523408816176,0.02564506914647602,0.03190295079642941,0.09891195051719692,0.01101106133447316,0.11204023610573444,,0.08212669185404464,,0.4222826784901077
1985-04-01,,,,,,,,,,,32.125903058077995,,,,,,,,,,,,,,,,,,,,,,,,,57.77,,,,,0.041977643029722955,-0.009610745654626385,0.0017889635321530761,-0.01400179310903571,,,,,,,0.04726786812460548,0.04846010781531451,0.04195607436034432,0.038609757591793636,0.04962107337802532,0.06002015326097354,0.024441280322572867,0.1755012439300565,0.07731334837001846,0.03758321685744803,0.03404417033383644,0.07560887582509301,0.02288437796995152,0.029438432276821525,0.010589107795445862,0.011747315826546645,,0.13485907706528644,,0.5661642553809472
1985-05-01,,,,,,,,,,,30.670710652793897,,,,,,,,,,,,,,,,,,,,,,,,,56.08,,,,,0.00561757459205392,-0.010267997341188995,0.00045428483165466105,-0.012701000010551411,,,,,,,0.07017154129417691,0.07279436172223985,0.0628078165118735,0.04944447083569059,0.07442471744161697,0.08647456549089405,0.03258826786005786,0.12487669016916936,0.12031127618519855,0.011367561138720061,0.010840023731431225,-0.04032287150543401,0.028175744269840874,0.1201413528172024,0.005028160454614072,0.05495975572678091,,-0.03423304480669631,,-0.07068689697038444
1985-06-01,,,,,,,,,,,31.9833835513877,,,,,,,,,,,,,,,,,,,,,,,,,61.98,,,,,0.015260273665500534,-0.015175227853644557,-0.00021226910531080279,-0.007242674038108632,,,,,,,0.07685372791744494,0.0760464411044166,0.07864151801104208,0.05810578162198132,0.09343955376572904,0.06861763082570316,0.032115458524054064,0.06415205005367652,0.09105686115675782,0.009460651756305394,0.013758368412527755,0.057037921089363786,0.0076438557217359815,0.15820527600009449,0.010334615757927157,0.019225364337689843,,0.07686899242135792,,-0.6414161136024532
1985-07-01,,,,,,,,,,,31.7365739771116,,,,,,,,,,,,,,,,,,,,,,,,,65.54,,,,,0.06402343052727755,-0.017365611685080218,-7.956315859392049e-05,0.0010827180444676898,,,,,,,0.08700270003791594,0.086902014074068,0.09794593897758336,0.09982860553736528,0.09619302697636853,0.06441859296194596,0.053050990014946287,0.3319122769811981,0.07090837269809269,0.03217967527140342,0.05263059345905363,0.10635397148657555,0.01393180799271232,0.13870049738906154,0.011356089924944746,0.043490976797391,,0.11737784079761582,,0.4758573783530231
1985-08-01,,,,,,,,,,,32.477371921270006,,,,,,,,,,,,,,,,,,,,,,,,,69.31,,,,,0.13788315410332252,-0.0002484212934739105,0.0017175853305539945,-0.0012341138403790808,,,,,,,0.06612490975560537,0.08993713907404327,0.09771907864704413,0.10522567697201202,0.09234465604757731,0.07497185876630585,0.054376190094429344,0.2183564915306142,0.09110712059098197,0.03900997086374858,0.0507395354824291,0.04852502794334845,0.060302082771261534,-0.1004384746076954,0.014468439698387403,0.03964343559615857,,0.1415462452639955,,0.3879030763687137
1985-09-01,,,,,,,,,,,31.5362642596278,,,,,,,,,,,,,,,,,,,,,,,,,65.35,,,,,-0.0037308668254700805,-0.007575884079447093,-0.004256893120225591,-0.011524768309936206,,,,,,,0.08147246902244265,0.07581985813177583,0.07423135396597404,0.07077881022476024,0.07679670813816615,0.07788690009647953,0.059850842156200235,-1.6833605883128842,0.12763819179232122,0.03481783354114343,0.042455984045067785,0.015624215580838596,0.0443690801709509,0.10151147045948417,0.016743551092022635,0.09862836445344225,,0.027033243811996233,,-0.18939266658008336
1985-10-01,,,,,,,,,,,32.1007784584344,,,,,,,,,,,,,,,,,,,,,,,,,61.95,,,,,0.05948890335250745,-0.014347103097225755,0.004746155339357294,-0.006634208275945852,,,,,,,0.06989886818133151,0.07351271188389152,0.058415754905827844,0.052855600636669,0.037789555126425345,0.061532465929972247,0.048113998736265484,0.8597087195570212,0.0703370842225381,0.03185474605229499,0.04926635300250343,0.11929466807764466,0.019360648195663993,0.14210538873923761,0.00810224204203469,0.1968750050832171,,0.2741870801507704,,0.7190114567442052
1985-11-01,,,,,,,,,,,34.2000964630225,,,,,,,,,,,,,,,,,,,,,,,,,64.31,,,,,0.025331724780587095,0.031883826769007584,-0.0024732545463104216,0.015253328719129655,,,,,,,0.0905449556594411,0.08234548034571333,0.04472311838859257,0.06611010082159074,0.027467706121358515,0.12834205718607322,0.047688165252013415,0.22225813566289832,0.14811287047523414,0.02967565493019242,0.04786374627651607,0.11565564022061536,0.030864680896037028,-0.04795552235806577,0.01065202699905754,0.4910242823770311,,0.10934048061260171,,0.38456904836797
1985-12-01,,,,,,,,,,,32.9129578515173,,,,,,,,,,,,,,,,,,,,,,,,,71.65,,,,,0.021623086774870792,-0.02544416115200221,-0.0059748159603252304,-0.018852542570120256,,,,,,,-0.08934160478378994,-0.07634359344345558,-0.04138537555672268,-0.051829914733203475,-0.002731803265674293,-0.11565044171480032,0.021739295881384957,0.10158216226736227,-0.1952684332176307,0.11968120787737135,0.03174297098153078,0.07420302259171557,0.022001217246545024,0.04221297174517924,0.29854368912514895,-0.4569728381087016,,0.11195254058652404,,0.0996657870635449
